new_id,old_id,name
989,1867,Webta
990,1868,Lagunya
991,1869,Awlad Omran clan
992,1870,Jikany Nuer
993,1871,Masalit
994,1872,Salamat Baggara
995,1873,Beni Halba Baggara
996,1874,Fur
997,1875,SPLM/A - AH
998,1876,SPLM/A - WN
999,1877,Tchokossi
1000,1878,Moba
1001,1879,Iteso
1002,1880,Afor
1003,1881,Supporters of Andry Rajoelina
1004,1882,Hizbul Islam
1005,1884,Ngok Dinka
1006,1885,Shiluk
1007,1886,Bari
1008,1887,Aliap Dinka
1009,1888,Luac Jang Dinka
1010,1889,Awan Dinka
1011,1890,Pari
1012,1891,Arab
1013,1892,Kounta
1014,1893,Atyap
1015,1894,Supporters of Laurent Gbagbo
1016,1895,Supporters of Alassane Outtara
1017,1896,Supporters of Didier Ratsiraka
1018,1897,Mauritanian
1019,1898,Senegalese
1020,1899,Christians (Nigeria)
1021,1900,Muslims (Nigeria)
1022,1901,Bini
1023,1902,Supporters of UNPP
1024,1903,Kalenjin
1025,1904,Misseriya
